V, H 
-0.001707,0.005223
0.013043,0.007854
-0.001966,0.017245
0.001111,0.002263
0.002324,-0.002986
0.003016,0.001081
0.001081,0.002375
0.021252,-0.006208
0.008768,-0.012912
0.001507,-0.014860
-0.000438,-0.006427
-0.003151,0.010537
-0.008365,0.015246
-0.011537,0.015069
-0.015246,0.006096
-0.012194,-0.002837
0.006389,-0.008268
0.012667,0.001526
0.025077,0.002361
0.011370,0.003165
-0.013709,0.002426
-0.019694,-0.000023
0.000096,0.018688
0.013751,0.002121
0.010253,-0.013539
-0.000632,-0.012438
-0.009081,0.004198
0.001442,-0.011644
-0.001297,-0.009246
-0.000984,-0.013073
0.002268,-0.006821
0.003495,0.009560
0.012073,0.008665
-0.000549,0.006002
-0.006214,0.001175
-0.000612,0.001436
0.004588,0.000347
-0.025579,0.016401
-0.023914,0.003373
-0.010659,-0.004126
0.006225,-0.004554
0.014256,-0.001096
0.020733,0.015098
0.016526,0.023604
0.005164,0.021073
-0.009193,0.001432
-0.011816,-0.020768
-0.014019,-0.036377
-0.002667,-0.021855
0.002098,-0.002658
0.003865,0.007852
0.002964,0.008109
0.041313,-0.004682
0.022801,0.004691
0.003352,0.016273
-0.009678,0.014883
-0.012461,-0.005888
-0.004014,-0.029959
0.020153,-0.029190
0.065897,-0.002107
0.110983,0.015304
0.105770,-0.002542
0.037567,-0.034755
-0.039428,-0.042987
-0.069805,-0.019939
-0.057867,0.005568
-0.039302,0.007023
-0.042271,-0.004957
-0.038713,-0.018109
-0.026981,-0.012282
-0.000809,0.003663
0.027077,0.013923
0.010582,0.022106
0.006485,0.013127
-0.004029,0.001764
-0.008401,-0.005972
-0.000056,-0.005949
0.039797,0.000467
0.025918,-0.001023
0.006867,-0.004632
0.002011,-0.004643
-0.004609,0.000339
-0.044965,-0.005271
-0.068899,0.002705
-0.057519,-0.000922
-0.005183,-0.008959
0.052872,-0.004845
0.078729,0.012020
0.068140,0.028881
0.041121,0.034218
0.020866,0.024588
0.020129,0.009994
0.045597,0.037309
0.041236,0.029492
0.017303,0.012419
-0.009914,-0.008746
-0.024400,-0.019510
-0.063440,-0.019204
-0.048904,-0.005871
-0.019626,0.001956
0.012528,0.001943
0.030232,0.000201
0.067596,-0.028987
0.043577,-0.021994
0.011829,-0.011652
-0.012217,0.000255
-0.022115,0.012800
-0.039851,0.012207
-0.027256,0.011124
-0.004749,0.005655
0.013482,-0.000884
0.015287,-0.007457
0.012000,-0.006562
-0.001858,-0.001256
-0.007247,0.002634
-0.003581,0.001278
0.003867,-0.001608
0.003073,0.013264
0.001853,0.016405
-0.001820,0.014028
-0.002374,0.001923
0.000383,-0.012850
-0.000759,-0.024002
-0.005382,-0.017411
-0.013551,-0.002271
-0.013233,0.009691
0.003455,0.009899
0.040816,-0.020516
0.053450,-0.029635
0.036286,-0.024532
-0.005418,-0.002345
-0.041607,0.023961
-0.053694,0.048885
-0.022992,0.028742
0.008179,-0.004224
0.016042,-0.020142
0.004559,-0.010852
-0.025309,0.003537
-0.021085,0.014898
-0.004991,0.015183
0.010461,0.001013
0.013069,-0.015612
0.037384,-0.026474
0.019767,-0.012808
-0.001732,-0.001985
-0.018282,0.001869
-0.013768,0.004317
0.014015,0.008607
0.046696,0.009729
0.064157,0.000654
0.062117,-0.015837
0.047437,-0.027845
0.012598,-0.032613
-0.008808,-0.015754
-0.018322,0.002517
-0.010197,0.009890
0.009380,0.006026
0.005704,0.007218
0.012574,-0.000342
0.005985,-0.002440
-0.005977,-0.000448
-0.010359,0.000999
0.006524,-0.004386
0.014939,-0.000798
0.007420,0.005107
-0.010282,0.008375
-0.014036,0.001377
-0.004053,0.005904
0.008790,-0.003759
0.003688,-0.000214
-0.006627,0.007668
-0.007487,0.005377
0.010616,-0.012573
0.018512,-0.024607
0.012226,-0.019618
-0.005937,0.000524
-0.017387,0.020172
-0.023089,0.035457
0.001939,0.020436
0.020885,0.000977
0.018289,-0.007232
-0.005354,-0.005504
-0.018637,-0.016240
-0.036250,-0.025766
-0.027960,-0.023069
0.000321,-0.000237
0.027232,0.023267
0.019759,0.027428
0.014015,0.010074
0.003175,-0.008398
-0.005260,-0.012351
-0.007673,-0.001625
-0.002518,0.020524
0.003934,0.026333
0.008509,0.018919
0.007250,0.000415
-0.001828,-0.018803
0.001864,-0.022630
-0.012291,-0.017882
-0.013918,-0.007458
-0.003735,0.002596
0.010282,0.009724
0.016271,-0.008628
0.015057,-0.007955
0.004451,-0.007953
-0.006738,-0.005776
-0.009410,0.004059
-0.011391,0.016901
-0.004321,0.017029
-0.001778,0.000705
-0.002134,-0.011399
0.000387,-0.007047
0.006306,0.008258
0.012738,0.004213
0.009860,-0.006561
-0.001831,-0.008290
-0.010749,0.001686
-0.013480,0.008988
-0.009728,0.001660
-0.009957,-0.010354
-0.010210,-0.008795
0.000834,0.004235
0.029061,0.013255
0.062158,0.012475
0.072523,0.005263
0.042739,-0.001454
-0.009650,0.000846
-0.053206,0.000754
-0.045862,0.010785
-0.012311,0.005969
0.016148,-0.008490
0.024524,-0.012260
0.016325,-0.017112
0.002978,0.005871
-0.008232,0.016029
-0.008167,0.008566
0.002548,-0.007396
0.023150,0.019334
0.017161,0.007163
-0.000288,-0.001848
-0.012025,-0.007099
-0.008121,-0.004140
0.003273,0.005924
0.011418,0.010112
0.017666,-0.000598
0.025601,-0.017557
0.026974,-0.025656
0.038938,-0.047163
0.014609,-0.027361
0.001447,-0.005889
0.001636,0.006945
-0.001835,0.010986
-0.020318,0.019851
-0.027432,0.028370
-0.014113,0.028897
0.005836,0.007172
0.015773,-0.025792
0.019936,-0.038647
0.027065,-0.019583
0.037315,0.006252
0.049278,0.010528
0.060282,-0.002104
0.066361,-0.008132
0.066425,-0.000409
0.060947,0.011664
0.052205,0.022210
0.042163,0.030020
0.024923,-0.004464
0.005493,-0.004917
-0.011894,-0.004105
-0.013681,-0.000371
0.001793,0.003488
0.008745,0.010237
0.010916,0.010820
0.000031,0.006830
-0.010102,-0.001640
-0.007707,-0.008247
0.006861,-0.007763
0.023289,-0.001551
0.032046,0.006938
0.034544,0.015228
0.035321,0.017937
0.035939,0.012926
0.018520,0.000554
-0.002933,-0.005973
-0.013841,-0.003501
-0.008922,0.002766
0.007176,0.006153
0.028148,0.004195
0.046490,0.003296
0.054089,0.012129
0.045277,0.026910
0.010332,0.014922
-0.005630,0.010427
-0.012448,0.001395
-0.011791,-0.005309
0.002486,-0.006892
0.021318,-0.014033
0.034082,-0.001205
0.018998,0.004591
-0.009178,-0.001223
-0.024146,-0.005235
-0.021959,0.006624
-0.010401,0.018335
-0.001932,0.017812
0.003370,0.001595
0.007501,-0.016967
0.046011,0.005392
0.019108,0.013330
-0.014485,0.013736
-0.026321,0.000092
-0.006182,-0.013237
-0.022591,-0.008005
-0.000477,-0.000626
0.003466,0.003668
-0.001086,0.002501
-0.002606,-0.000663
0.014454,0.002779
0.017433,-0.001715
0.013450,-0.002610
0.000390,0.000648
-0.013876,0.002815
-0.025547,-0.000632
-0.017161,-0.003591
-0.005227,-0.003314
0.005188,-0.000269
0.010609,0.002679
0.007767,0.003694
-0.001371,0.003428
-0.005275,0.001046
-0.001756,-0.000814
0.003322,-0.000972
0.019144,0.034714
0.015844,0.026577
0.007777,0.012170
-0.002761,-0.002823
-0.011553,-0.014094
-0.009514,-0.012321
0.006758,-0.017281
0.019036,-0.016180
0.010127,-0.005057
-0.011507,0.012360
-0.028864,-0.000433
-0.021413,0.002941
-0.000382,-0.002104
0.016316,-0.007338
0.013551,-0.003874
0.022385,0.006064
-0.001638,0.019990
-0.011002,0.019641
-0.006285,0.003319
0.003710,-0.016984
-0.009793,0.008724
0.000951,0.011413
0.006866,0.010971
0.004392,0.001484
-0.004045,-0.009644
-0.003594,-0.018457
0.001955,-0.014670
0.008348,-0.006223
0.005900,0.002536
-0.004140,0.008518
-0.011294,-0.006995
-0.008503,-0.008167
0.001433,-0.006728
0.006851,-0.000775
0.003583,0.006446
0.005529,0.016574
-0.001180,0.011214
-0.008099,0.002455
-0.011053,-0.002236
-0.000346,-0.003916
0.004898,0.022098
0.017562,0.015413
0.011998,0.003944
-0.002643,-0.009304
-0.013019,-0.012530
-0.017356,-0.023592
-0.009870,-0.001786
-0.001583,0.008434
0.002682,0.004683
0.003907,-0.002840
0.010126,0.007803
0.012754,0.003392
0.012590,0.001430
0.003158,0.002242
-0.011036,-0.000134
-0.008124,-0.011393
-0.003939,-0.013185
